lab_number_sample	lab_sampleid	cell_line_id	sample	population	color_pop	ooa	color_ooa	sex_code	color_sex	hapmap_DNA_ID	hapmap	GEUVADIS	MAGE	1000G	ONT1000G	pangenome	GIAB	rDNA	sex	two_letter_pop	rDNA_ONT	wgs_sr_ill	wgs_lr_pb	wgs_lr_ont	mixed_samples	reads_fastq7	reads_fastq10	map_reads_generalmap	map_reads_assemblymap	trizol_batchA	trizol_batchB	rna_extraction_batchA	rna_extraction_batchB	captrap_batch	captrap_batch	unmerged_run_mode	merged_run_mode	quantification_id	libprep_batch	two_runs	was_switched_with	relabeled	family_member	family	population_full_name	population _description	extra_info	coriell_link
15	CH3	GM18631	HAC3	HAC	#4cb33e	OOA	#259069	2	#B8295B	NA18631	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	CH	TRUE	TRUE	FALSE	FALSE	FALSE	19547935	17227846	17424725	16742983	04/08/2023	05/07/2023	07/08/23	02/08/23	22/01/24	22/01/24	TRUE	TRUE	GM18631	27/02/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Han Chinese	Han Chinese in Beijing	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18631&Product=CC
14	CH2	GM18561	HAC2	HAC	#4cb33e	OOA	#259069	1	#4A97CB	NA18561	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	CH	TRUE	TRUE	FALSE	FALSE	FALSE	14224097	13024032	12264621	12350440	07/07/2023	05/07/2023	01/08/23	27/07/23	10/10/23-18/03/24	10/10/23	TRUE	TRUE	GM18561	20/02/2024	FALSE	5	TRUE	Unrelated	Unrelated	Han Chinese	Han Chinese in Beijing	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18561&Product=CC
13	CH1	GM18542	HAC1	HAC	#4cb33e	OOA	#259069	2	#B8295B	NA18542	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	CH	TRUE	TRUE	FALSE	FALSE	FALSE	24763584	22943983	21075335	22088267	13/07/2023	13/07/2023	02/08/23	M03/08/23	24/10/23	24/10/23	FALSE	TRUE	GM18542	25/03/2024_09/07/2024	TRUE	FALSE	FALSE	Unrelated	Unrelated	Han Chinese	Han Chinese in Beijing	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18542&Product=CC
13_1	CH1_1	GM18542	HAC1_1	HAC	#4cb33e	OOA	#259069	2	#B8295B	NA18542	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	CH	TRUE	TRUE	FALSE	FALSE	FALSE					13/07/2023	13/07/2023	02/08/23	M03/08/23	24/10/23	24/10/23	TRUE	FALSE	20240325_HS_13_CH1_GM18542	25/03/2024	TRUE	FALSE	FALSE	Unrelated	Unrelated	Han Chinese	Han Chinese in Beijing	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18542&Product=CC
13_2	CH1_2	GM18542	HAC1_2	HAC	#4cb33e	OOA	#259069	2	#B8295B	NA18542	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	CH	TRUE	TRUE	FALSE	FALSE	FALSE					13/07/2023	13/07/2023	02/08/23	M03/08/23	24/10/23	24/10/23	TRUE	FALSE	20240709_HS_13_CH1_GM18542	09/07/2024	TRUE	FALSE	FALSE	Unrelated	Unrelated	Han Chinese	Han Chinese in Beijing	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18542&Product=CC
7	NI2	GM18489	YRI2	YRI	#DFBD00	AFR	#D5AC4B	2	#B8295B	NA18489	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	NI	TRUE	TRUE	FALSE	FALSE	FALSE	19992229	18603198	17810892	18066961	04/08/2023	05/07/2023	07/08/23	27/07/23	22/01/24	22/01/24	FALSE	TRUE	GM18489	25/03/2024_09/07/2024	TRUE	FALSE	FALSE	Mother	Y002	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18489&Product=CC
7_1	NI2_1	GM18489	YRI2_1	YRI	#DFBD00	AFR	#D5AC4B	2	#B8295B	NA18489	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	NI	TRUE	TRUE	FALSE	FALSE	FALSE					04/08/2023	05/07/2023	07/08/23	27/07/23	22/01/24	22/01/24	TRUE	FALSE	20240325_HS_7_NI2_GM18489	25/03/2024	TRUE	FALSE	FALSE	Mother	Y002	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18489&Product=CC
7_2	NI2_2	GM18489	YRI2_2	YRI	#DFBD00	AFR	#D5AC4B	2	#B8295B	NA18489	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	NI	TRUE	TRUE	FALSE	FALSE	FALSE					04/08/2023	05/07/2023	07/08/23	27/07/23	22/01/24	22/01/24	TRUE	FALSE	20240709_HS_7_NI2_GM18489	09/07/2024	TRUE	FALSE	FALSE	Mother	Y002	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18489&Product=CC
6	NI1	GM18486	YRI1	YRI	#DFBD00	AFR	#D5AC4B	1	#4A97CB	NA18486	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	NI	TRUE	TRUE	FALSE	FALSE	FALSE	12037462	10819824	10373750	10339710	10/07/2023	20/07/2023	02/08/23	T03/08/23	24/10/23	24/10/23	TRUE	TRUE	GM18486	27/02/2024	FALSE	FALSE	FALSE	Father	Y001	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18486&Product=CC
45	EU5	GM12878	CEU5	CEU	#347eed	OOA	#259069	2	#B8295B	NA12878	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	Female	EU	TRUE	TRUE	TRUE	TRUE	FALSE	21364824	20182938	18505954	19493442	11/03/2024	11/03/2024	12/03/24	13/03/24	18/03/24	18/03/24	TRUE	TRUE	GM12878	03/06/2024	FALSE	FALSE	FALSE	Child	1463	Central and Northern European in Utah	Utah residents (CEPH) with Northern and Western European	Empty	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM12878&Product=CC
44	EU4	GM12829	CEU4	CEU	#347eed	OOA	#259069	1	#4A97CB	NA12829	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	EU	TRUE	TRUE	FALSE	FALSE	FALSE	14232990	12582211	12250725	12110852	11/03/2024	11/03/2024	12/03/24	13/03/24	18/03/24	18/03/24	TRUE	TRUE	GM12829	02/04/2024	FALSE	FALSE	FALSE	Maternal Grandfather	1456	Central and Northern European in Utah	Utah residents (CEPH) with Northern and Western European	Empty	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM12829&Product=CC
43	EU3	GM12812	CEU3	CEU	#347eed	OOA	#259069	1	#4A97CB	NA12812	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	EU	TRUE	TRUE	FALSE	FALSE	FALSE	12433340	11189691	10767590	10849253	11/03/2024	11/03/2024	12/03/24	13/03/24	18/03/24	18/03/24	FALSE	TRUE	GM12812	28/03/2024_29/03/2024	TRUE	FALSE	FALSE	Paternal Grandfather	1454	Central and Northern European in Utah	Utah residents (CEPH) with Northern and Western European	Empty	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM12812&Product=CC
43_1	EU3_1	GM12812	CEU3_1	CEU	#347eed	OOA	#259069	1	#4A97CB	NA12812	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	EU	TRUE	TRUE	FALSE	FALSE	FALSE					11/03/2024	11/03/2024	12/03/24	13/03/24	18/03/24	18/03/24	TRUE	FALSE	20240328_HS_43_EU3_GM12812	28/03/2024	TRUE	FALSE	FALSE	Paternal Grandfather	1454	Central and Northern European in Utah	Utah residents (CEPH) with Northern and Western European	Empty	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM12812&Product=CC
43_2	EU3_2	GM12812	CEU3_2	CEU	#347eed	OOA	#259069	1	#4A97CB	NA12812	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	EU	TRUE	TRUE	FALSE	FALSE	FALSE					11/03/2024	11/03/2024	12/03/24	13/03/24	18/03/24	18/03/24	TRUE	FALSE	20240329_HS_43_EU3_GM12812	29/03/2024	TRUE	FALSE	FALSE	Paternal Grandfather	1454	Central and Northern European in Utah	Utah residents (CEPH) with Northern and Western European	Empty	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM12812&Product=CC
42	EU2	GM12778	CEU2	CEU	#347eed	OOA	#259069	2	#B8295B	NA12778	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	EU	TRUE	TRUE	FALSE	FALSE	FALSE	15474843	13500157	13341248	13048897	11/03/2024	11/03/2024	12/03/24	13/03/24	09/04/24	09/04/24	TRUE	TRUE	GM12778	27/05/2024	FALSE	FALSE	FALSE	Maternal Grandmother	1451	Central and Northern European in Utah	Utah residents (CEPH) with Northern and Western European	Empty	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM12778&Product=CC
41	EU1	GM12273	CEU1	CEU	#347eed	OOA	#259069	2	#B8295B	NA12273	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	EU	FALSE	TRUE	FALSE	FALSE	FALSE	14828100	13141778	12803019	12692969	11/03/2024	11/03/2024	12/03/24	13/03/24	18/03/24	18/03/24	TRUE	TRUE	GM12273	25/03/2024	FALSE	FALSE	FALSE	Paternal Grandmother	1418	Central and Northern European in Utah	Utah residents (CEPH) with Northern and Western European	SNP 500 panel	https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM12273&Product=CC
5	PY5	GM10496	MPC5	MPC	#eb9d0c	AFR	#D5AC4B	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Female	PY	FALSE	FALSE	TRUE	FALSE	TRUE					07/07/2023	05/07/2023	02/08/23	M03/08/23	10/10/23	10/10/23	TRUE	TRUE	GM10496	27/05/2024	FALSE	14	TRUE	Unrelated	Unrelated	Mbuti Pygmy in Congo	Mbuti Pygmy Population	NIGMS Human Genetic Cell Repository Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM10496&PgId=166
4	PY4	GM10495	MPC4	MPC	#eb9d0c	AFR	#D5AC4B	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Male	PY	FALSE	FALSE	FALSE	FALSE	FALSE	19523488	18580548	17226944	17907999	07/07/2023	05/07/2023	01/08/23	T03/08/23	09/04/24	09/04/24	TRUE	TRUE	GM10495	27/05/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Mbuti Pygmy in Congo	Mbuti Pygmy Population	NIGMS Human Genetic Cell Repository Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM10495&PgId=166
3	PY3	GM10494	MPC3	MPC	#eb9d0c	AFR	#D5AC4B	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Male	PY	FALSE	FALSE	FALSE	FALSE	FALSE	13692915	12366510	11451657	11349462	07/07/2023	05/07/2023	26/07/23	02/08/23	03/10/23	03/10/23	TRUE	TRUE	GM10494	16/02/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Mbuti Pygmy in Congo	Mbuti Pygmy Population	NIGMS Human Genetic Cell Repository Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM10494&PgId=166
2	PY2	GM10493	MPC2	MPC	#eb9d0c	AFR	#D5AC4B	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Female	PY	FALSE	FALSE	FALSE	FALSE	FALSE	15035462	13533045	13193954	13087963	13/07/2023	17/07/2023	25/07/23	27/07/23	25/09/23	25/09/23	TRUE	TRUE	GM10493	12/02/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Mbuti Pygmy in Congo	Mbuti Pygmy Population	NIGMS Human Genetic Cell Repository Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM10493&PgId=166
1	PY1	GM10492	MPC1	MPC	#eb9d0c	AFR	#D5AC4B	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Male	PY	FALSE	FALSE	FALSE	FALSE	FALSE	12509221	11297186	10868212	10909651	04/08/2023	05/07/2023	07/08/23	26/07/23	18/03/24	18/03/24	TRUE	TRUE	GM10492	28/03/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Mbuti Pygmy in Congo	Mbuti Pygmy Population	NIGMS Human Genetic Cell Repository Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM10492&PgId=166
