lab_number_sample	lab_sampleid	cell_line_id	sample	population	color_pop	ooa	color_ooa	sex_code	color_sex	hapmap_DNA_ID	hapmap	GEUVADIS	MAGE	1000G	ONT1000G	pangenome	GIAB	rDNA	sex	two_letter_pop	rDNA_ONT	wgs_sr_ill	wgs_lr_pb	wgs_lr_ont	mixed_samples	reads_fastq7	reads_fastq10	map_reads_generalmap	map_reads_assemblymap	trizol_batchA	trizol_batchB	rna_extraction_batchA	rna_extraction_batchB	captrap_batch	captrap_batch	unmerged_run_mode	merged_run_mode	quantification_id	libprep_batch	two_runs	was_switched_with	relabeled	family_member	family	population_full_name	population _description	extra_info	coriell_link
31	PE3	HG01952	PEL3	PEL	#ff3a33	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	Male	PE	TRUE	TRUE	TRUE	TRUE	FALSE	18521920	17399379	16575447	16931563	11/07/2023	13/07/2023	26/07/23	T03/08/23	03/10/23-09/04/24	3/10/23	TRUE	TRUE	HG01952	03/06/2024	FALSE	FALSE	FALSE	Child	PEL019	Peruvian in Lima	Peruvian in Lima	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01952&product=CC
30	PE2	HG01928	PEL2	PEL	#ff3a33	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	Male	PE	TRUE	TRUE	TRUE	TRUE	FALSE	11178882	10171900	9730020	9771231	10/07/2023	05/07/2023	25/07/23	26/07/23	18/09/23	18/09/23	TRUE	TRUE	HG01928	12/02/2024	FALSE	FALSE	FALSE	Child	PEL011	Peruvian in Lima	Peruvian in Lima	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01928&product=CC
29	PE1	HG01567	PEL1	PEL	#ff3a33	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	PE	TRUE	TRUE	TRUE	FALSE	FALSE	18441912	16272581	16112315	15610304	06/07/2023	07/07/2023	07/08/23	02/08/23	22/01/24	22/01/24	TRUE	TRUE	HG01567	28/03/2024	FALSE	FALSE	FALSE	Child	PEL001	Peruvian in Lima	Peruvian in Lima	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01567&product=CC
18	CH6	HG00621	HAC6	HAC	#4cb33e	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	Male	CH	TRUE	TRUE	TRUE	TRUE	FALSE	27257062	24902635	24404511	24166649	07/07/2023	05/07/2023	01/08/23	T03/08/23	03/10/23	03/10/23	FALSE	TRUE	HG00621	20/02/2024_09/07/2024	TRUE	FALSE	FALSE	Child	SH066	Han Chinese	Han Chinese South	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00621&Product=CC
18_1	CH6_1	HG00621	HAC6_1	HAC	#4cb33e	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	Male	CH	TRUE	TRUE	TRUE	TRUE	FALSE					07/07/2023	05/07/2023	01/08/23	T03/08/23	03/10/23	03/10/23	TRUE	FALSE	20240220_HS_18_CH6_HG00621	20/02/2024	TRUE	FALSE	FALSE	Child	SH066	Han Chinese	Han Chinese South	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00621&Product=CC
18_2	CH6_2	HG00621	HAC6_2	HAC	#4cb33e	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	Male	CH	TRUE	TRUE	TRUE	TRUE	FALSE					07/07/2023	05/07/2023	01/08/23	T03/08/23	03/10/23	03/10/23	TRUE	FALSE	20240709_HS_18_CH6_HG00621	09/07/2024	TRUE	FALSE	FALSE	Child	SH066	Han Chinese	Han Chinese South	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00621&Product=CC
40	IS6	GM24385	AJI6	AJI	#46bff0	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	Male	IS	FALSE	TRUE	FALSE	TRUE	FALSE	21621715	19664300	19098091	19096436	10/07/2023	05/07/2023	26/07/23	02/08/23	18/03/24	18/03/24	FALSE	TRUE	GM24385	25/03/2024_09/07/2024	TRUE	FALSE	FALSE	Child	3140	Ashkenazi Jewish Israeli Population	Israeli Populations - Ashkenazi Jewish	Personal Genome Project	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM24385&Product=CC
40_1	IS6_1	GM24385	AJI6_1	AJI	#46bff0	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	Male	IS	FALSE	TRUE	FALSE	TRUE	FALSE	21621715	19664300	19098091	19096436	10/07/2023	05/07/2023	26/07/23	02/08/23	18/03/24	18/03/24	TRUE	FALSE	20240325_HS_40_IS6_GM24385	25/03/2024	TRUE	FALSE	FALSE	Child	3140	Ashkenazi Jewish Israeli Population	Israeli Populations - Ashkenazi Jewish	Personal Genome Project	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM24385&Product=CC
40_2	IS6_2	GM24385	AJI6_2	AJI	#46bff0	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	Male	IS	FALSE	TRUE	FALSE	TRUE	FALSE	21621715	19664300	19098091	19096436	10/07/2023	05/07/2023	26/07/23	02/08/23	18/03/24	18/03/24	TRUE	FALSE	20240709_HS_40_IS6_GM24385	09/07/2024	TRUE	FALSE	FALSE	Child	3140	Ashkenazi Jewish Israeli Population	Israeli Populations - Ashkenazi Jewish	Personal Genome Project	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM24385&Product=CC
28	IS5	GM22305	AJI5	AJI	#46bff0	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Female	IS	FALSE	FALSE	FALSE	FALSE	FALSE	21225288	20216225	18360293	19455494	04/08/2023	05/07/2023	07/08/23	27/07/23	24/10/23	24/10/23	TRUE	TRUE	GM22305	03/06/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Ashkenazi Jewish Israeli Population	Israeli Populations - Ashkenazi Jewish	Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM22305&PgId=166
27	IS4	GM22304	AJI4	AJI	#46bff0	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Female	IS	FALSE	FALSE	FALSE	FALSE	FALSE	11294566	10064579	9724835	9599380	07/07/2023	05/07/2023	02/08/23	M03/08/23	22/01/24	22/01/24	TRUE	TRUE	GM22304	02/04/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Ashkenazi Jewish Israeli Population	Israeli Populations - Ashkenazi Jewish	Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM22304&PgId=166
26	IS3	GM22300	AJI3	AJI	#46bff0	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Male	IS	FALSE	FALSE	FALSE	FALSE	FALSE	16513171	14926390	14530829	14486506	07/07/2023	05/07/2023	01/08/23	T03/08/23	24/10/23	24/10/23	TRUE	TRUE	GM22300	27/02/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Ashkenazi Jewish Israeli Population	Israeli Populations - Ashkenazi Jewish	Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM22300&PgId=166
25	IS2	GM22299	AJI2	AJI	#46bff0	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Male	IS	FALSE	FALSE	FALSE	FALSE	FALSE	16091167	14498014	13816378	13693804	11/07/2023	05/07/2023	26/07/23	26/07/23	09/04/24-10/10/23	9/04/24	TRUE	TRUE	GM22299	20/02/2024	FALSE	9	TRUE	Unrelated	Unrelated	Ashkenazi Jewish Israeli Population	Israeli Populations - Ashkenazi Jewish	Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM22299&PgId=166
24	IS1	GM22234	AJI1	AJI	#46bff0	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Female	IS	FALSE	FALSE	FALSE	FALSE	FALSE	14544257	12422345	12263298	12033035	14/07/2023	07/07/2023	25/07/23	02/08/23	18/03/24	18/03/24	TRUE	TRUE	GM22234	28/03/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Ashkenazi Jewish Israeli Population	Israeli Populations - Ashkenazi Jewish	Human Variation panel	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM22234&PgId=166
23	KE5	GM19446	LWK5	LWK	#A09136	AFR	#D5AC4B	2	#B8295B	NA19446	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	KE	TRUE	TRUE	FALSE	FALSE	FALSE	17531381	16611579	15378202	16117309	07/07/2023	07/07/2023	25/07/23	26/07/23	18/03/24-25/09/23	18/03/24	TRUE	TRUE	GM19446	03/06/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Luya in Webuye, Kenya	Luya in Webuye, Kenya	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19446&Product=CC
22	KE4	GM19390	LWK4	LWK	#A09136	AFR	#D5AC4B	2	#B8295B	NA19390	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	KE	TRUE	TRUE	FALSE	TRUE	FALSE	16653169	14908389	14626212	14413564	04/08/2023	13/07/2023	07/08/23	02/08/23	22/01/24	22/01/24	TRUE	TRUE	GM19390	27/02/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Luya in Webuye, Kenya	Luya in Webuye, Kenya	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19390&Product=CC
21	KE3	GM19352	LWK3	LWK	#A09136	AFR	#D5AC4B	1	#4A97CB	NA19352	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	KE	FALSE	FALSE	FALSE	FALSE	FALSE	13138300	11643053	11414577	11118807	07/07/2023	05/07/2023	02/08/23	27/07/23	22/01/24	22/01/24	TRUE	TRUE	GM19352	02/04/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Luya in Webuye, Kenya	Luya in Webuye, Kenya	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19352&Product=CC
20	KE2	GM19328	LWK2	LWK	#A09136	AFR	#D5AC4B	2	#B8295B	NA19328	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	KE	TRUE	TRUE	FALSE	FALSE	FALSE	15815655	13994056	13347243	13414290	07/07/2023	05/07/2023	01/08/23	T03/08/23	24/10/23	24/10/23	FALSE	TRUE	GM19328	28/03/2024_29/03/2024	TRUE	FALSE	FALSE	Unrelated	Unrelated	Luya in Webuye, Kenya	Luya in Webuye, Kenya	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19328&Product=CC
20_1	KE2_1	GM19328	LWK2_1	LWK	#A09136	AFR	#D5AC4B	2	#B8295B	NA19328	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	KE	TRUE	TRUE	FALSE	FALSE	FALSE					07/07/2023	05/07/2023	01/08/23	T03/08/23	24/10/23	24/10/23	TRUE	FALSE	20240328_HS_20_KE2_GM19328	28/03/2024	TRUE	FALSE	FALSE	Unrelated	Unrelated	Luya in Webuye, Kenya	Luya in Webuye, Kenya	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19328&Product=CC
20_2	KE2_2	GM19328	LWK2_2	LWK	#A09136	AFR	#D5AC4B	2	#B8295B	NA19328	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	KE	TRUE	TRUE	FALSE	FALSE	FALSE					07/07/2023	05/07/2023	01/08/23	T03/08/23	24/10/23	24/10/23	TRUE	FALSE	20240329_HS_20_KE2_GM19328	29/03/2024	TRUE	FALSE	FALSE	Unrelated	Unrelated	Luya in Webuye, Kenya	Luya in Webuye, Kenya	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19328&Product=CC
19	KE1	GM19307	LWK1	LWK	#A09136	AFR	#D5AC4B	1	#4A97CB	NA19307	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	KE	TRUE	TRUE	FALSE	FALSE	FALSE	15157327	13769812	13142646	13165293	07/07/2023	05/07/2023	26/07/23	M03/08/23	10/10/23	10/10/23	TRUE	TRUE	GM19307	20/02/2024	FALSE	33	TRUE	Unrelated	Unrelated	Luya in Webuye, Kenya	Luya in Webuye, Kenya	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19307&Product=CC
12	NI7	GM19240	YRI7	YRI	#DFBD00	AFR	#D5AC4B	2	#B8295B	NA19240	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	Female	NI	FALSE	TRUE	TRUE	TRUE	FALSE	16624559	15782558	14374261	15229276	04/08/2023	13/07/2023	07/08/23	T03/08/23	24/10/23	24/10/23	TRUE	TRUE	GM19240	27/05/2024	FALSE	FALSE	FALSE	Child	Y117	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19240&Product=CC
11	NI6	GM19129	YRI6	YRI	#DFBD00	AFR	#D5AC4B	2	#B8295B	NA19129	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	NI	FALSE	TRUE	FALSE	FALSE	FALSE	11204924	10001951	9858332	9574709	07/07/2023	05/07/2023	02/08/23	26/07/23	25/09/23	25/09/23	TRUE	TRUE	GM19129	02/04/2024	FALSE	FALSE	FALSE	Child	Y077	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19129&Product=CC
10	NI5	GM19117	YRI5	YRI	#DFBD00	AFR	#D5AC4B	1	#4A97CB	NA19117	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	NI	TRUE	TRUE	FALSE	FALSE	FALSE	11170456	10005582	9710442	9522208	07/07/2023	07/07/2023	01/08/23	02/08/23	03/10/23	03/10/23	TRUE	TRUE	GM19117	16/02/2024	FALSE	FALSE	FALSE	Father	Y100	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19117&Product=CC
9	NI4	GM19093	YRI4	YRI	#DFBD00	AFR	#D5AC4B	2	#B8295B	NA19093	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	NI	FALSE	TRUE	FALSE	FALSE	TRUE					07/07/2023	05/07/2023	26/07/23	M03/08/23	10/10/23	10/10/23	TRUE	TRUE	GM19093	27/05/2024	FALSE	25	TRUE	Mother	Y040	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM19093&Product=CC
8	NI3	GM18906	YRI3	YRI	#DFBD00	AFR	#D5AC4B	2	#B8295B	NA18906	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	Female	NI	TRUE	TRUE	TRUE	FALSE	FALSE	13982928	12366323	12446403	11948138	07/07/2023	05/07/2023	25/07/23	26/07/23	25/09/23	25/09/23	TRUE	TRUE	GM18906	12/02/2024	FALSE	FALSE	FALSE	Child	Y020	Yoruba in Ibadan, Nigeria	Yoruba in Ibadan, Nigeria	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18906&Product=CC
17	CH5	GM18774	HAC5	HAC	#4cb33e	OOA	#259069	2	#B8295B	NA18774	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Female	CH	FALSE	FALSE	FALSE	FALSE	FALSE	15797424	14684111	14024542	14137245	07/07/2023	05/07/2023	26/07/23	M03/08/23	03/10/23	03/10/23	TRUE	TRUE	GM18774	16/02/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Han Chinese	Han Chinese in Beijing	1000G pilot3 but not in 1000G 30x	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18774&Product=CC
16	CH4	GM18772	HAC4	HAC	#4cb33e	OOA	#259069	1	#4A97CB	NA18772	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Male	CH	FALSE	FALSE	FALSE	FALSE	FALSE	16524360	14824037	14651471	14342057	07/07/2023	05/07/2023	25/07/23	26/07/23	25/09/23	25/09/23	TRUE	TRUE	GM18772	12/02/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Han Chinese	Han Chinese in Beijing	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM18772&Product=CC
