2024-11-08 11:49:57.676452	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&perturbed=false&assay_title=long+read+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&biosample_ontology.classification=primary+cell&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR729EEX/	ENCSR729EEX	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens right kidney tissue female embryo (107 days)	right kidney			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF045QZC/,/files/ENCFF999KRU/		ENCBS078FAV	1	1		Homo sapiens	embryonic	107 days												/replicates/280fbb2f-cb8e-416d-8f16-a7d798d0f162/				
/experiments/ENCSR539XOD/	ENCSR539XOD	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens adrenal gland tissue male embryo (101 days)	adrenal gland			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF041GVG/,/files/ENCFF340QTS/		ENCBS422GGI	1	1		Homo sapiens	embryonic	101 days												/replicates/75f66d8f-b2bc-43b0-b58c-d360fa182986/				
/experiments/ENCSR322MKW/	ENCSR322MKW	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens heart tissue embryo	heart			Roderic Guigo, CRG	community	in progress	/files/ENCFF194YXK/		ENCBS638OZB	1	1		Homo sapiens	embryonic													/replicates/ac96715f-be97-48e3-aef5-6971b9fc7ca4/				CapTrap
/experiments/ENCSR243FLD/	ENCSR243FLD	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of leg tissue male embryo (105 days)	muscle of leg			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF182CQR/,/files/ENCFF857VFJ/		ENCBS286HRG	1	1		Homo sapiens	embryonic	105 days												/replicates/05f5bef8-4fc4-4fdf-81a0-6c4803adb367/				
/experiments/ENCSR885ASQ/	ENCSR885ASQ	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens renal pelvis tissue female embryo (89 days)	renal pelvis			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF537ULH/,/files/ENCFF467DNH/		ENCBS965EVC	1	1		Homo sapiens	embryonic	89 days												/replicates/3c8b2a73-97c6-42e5-a59b-efb4c1c7f572/				
/experiments/ENCSR585QNX/	ENCSR585QNX	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens left lung tissue female embryo (98 days)	left lung			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF407NXH/,/files/ENCFF792JHW/		ENCBS910BDD	1	1		Homo sapiens	embryonic	98 days												/replicates/d58fe509-0473-40bf-9fc9-2504e67adaca/				
/experiments/ENCSR222RWQ/	ENCSR222RWQ	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens small intestine tissue female embryo (108 days)	small intestine			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF007RVQ/,/files/ENCFF560CEB/		ENCBS973XLE	1	1		Homo sapiens	embryonic	108 days												/replicates/dbc08acd-9811-4db6-b910-ac9903cd2bc3/				
/experiments/ENCSR709ZJR/	ENCSR709ZJR	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens renal pelvis tissue male embryo (105 days)	renal pelvis			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF327OBL/,/files/ENCFF086ZAW/		ENCBS501TEA	1	1		Homo sapiens	embryonic	105 days												/replicates/86557bb5-ae54-445f-9193-d5b0523763ac/				
/experiments/ENCSR646BMO/	ENCSR646BMO	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of leg tissue male embryo (96 days)	muscle of leg			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF603PGE/,/files/ENCFF618ITC/		ENCBS224LQJ	1	1		Homo sapiens	embryonic	96 days												/replicates/0879fc20-08e0-44dd-bdb3-971b368ee760/				
/experiments/ENCSR273NIW/	ENCSR273NIW	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens large intestine tissue male embryo (115 days)	large intestine			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF390FYK/,/files/ENCFF588XEF/		ENCBS061ZSI	1	1		Homo sapiens	embryonic	115 days												/replicates/5cdf90b3-c8c4-490b-8f37-804b59567fb9/				
/experiments/ENCSR321AWD/	ENCSR321AWD	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens renal cortex interstitium tissue male embryo (108 days)	renal cortex interstitium			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF736NCQ/,/files/ENCFF521MXJ/		ENCBS737MAA	1	1		Homo sapiens	embryonic	108 days												/replicates/78fda9d8-a0d5-4cdf-8a59-e26ec49c9772/				
/experiments/ENCSR383POI/	ENCSR383POI	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens spinal cord tissue female embryo (87 days)	spinal cord			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF706IBM/,/files/ENCFF699THC/		ENCBS204TIE	1	1		Homo sapiens	embryonic	87 days												/replicates/87bf91f4-5f26-4c08-ae72-d6f2a9e29618/				
/experiments/ENCSR649UAP/	ENCSR649UAP	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of arm tissue male embryo (105 days)	muscle of arm			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF682FPD/,/files/ENCFF752PRT/		ENCBS653XSR	1	1		Homo sapiens	embryonic	105 days												/replicates/c3a92c89-444d-4687-9720-8a811deaa06c/				
/experiments/ENCSR081FFD/	ENCSR081FFD	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens small intestine tissue female embryo (120 days)	small intestine			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF043KFO/,/files/ENCFF415RMA/		ENCBS165TTF	1	1		Homo sapiens	embryonic	120 days												/replicates/c6b4929c-568c-4882-afb7-9601cf008bf6/				
