cell_line_id	population	total_reads	perc_same_population_sample	perc_afr_sample	perc_european_sample
GM18906	YRI	13422483	92.62701990384342	92.29925640434783	92.30846483471053
GM19240	YRI	15996398	89.53550668094155	90.02521692696068	89.84386985120025
GM24385	AJI	20882379	91.15920652527186	91.04422920396186	91.15920652527186
HG00621	HAC	26329983	92.22176862020761	92.27978992618415	91.91342812488713
HG01928	PEL	10672705	90.3763947377914	90.69978979087307	90.40325765586138
HG01952	PEL	17966879	92.32907395881053	92.195144187257	92.16877900719429
