cell_line_id	population	total_reads	perc_same_population_sample	perc_afr_sample	perc_european_sample
GM18906	YRI	12672718	92.92122652772673	91.28038673313807	91.87313250401374
GM19240	YRI	14708966	91.93569418815707	91.56166381783737	91.31856719228259
GM24385	AJI	19323787	94.87478825967187	93.03413973668826	94.87478825967187
HG00621	HAC	24718661	92.15011686919448	92.07861218696272	91.57076509929077
HG01928	PEL	9918009	90.83330132085986	91.01065546522493	90.77306745738989
HG01952	PEL	16867370	91.26961108933995	92.38235717838643	92.30381499901881
