NA19682 MXL AMR male SAMN29221551 SRS13498999
NA19676 MXL AMR male SAMN29221550 SRS13498998
NA19670 MXL AMR male SAMN29221549 SRS13498875
NA19663 MXL AMR female SAMN29221548 SRS13498874
NA19657 MXL AMR female SAMN29221547 SRS13498872
NA19654 MXL AMR female SAMN29221546 SRS13498871
NA19649 MXL AMR male SAMN29221545 SRS13498870
NA19648 MXL AMR female SAMN29221544 SRS13498869
NA19625 ASW AFR female SAMN29221543 SRS13498868
NA19475 LWK AFR female SAMN29221542 SRS13498867
NA19454 LWK AFR male SAMN29221541 SRS13498866
NA19451 LWK AFR male SAMN29221540 SRS13498865
NA19449 LWK AFR female SAMN29221539 SRS13498864
NA19443 LWK AFR male SAMN29221538 SRS13498863
NA19438 LWK AFR female SAMN29221537 SRS13499099
NA19430 LWK AFR male SAMN29221536 SRS13499098
NA19404 LWK AFR female SAMN29221535 SRS13499097
NA19401 LWK AFR female SAMN29221534 SRS13499096
NA19397 LWK AFR male SAMN29221533 SRS13499095
NA19393 LWK AFR male SAMN29221532 SRS13499094
NA19385 LWK AFR male SAMN29221531 SRS13499093
NA19377 LWK AFR female SAMN29221530 SRS13499092
NA19374 LWK AFR male SAMN29221529 SRS13499091
NA19355 LWK AFR female SAMN29221528 SRS13499090
NA19351 LWK AFR female SAMN29221527 SRS13499088
NA19346 LWK AFR male SAMN29221526 SRS13499087
NA19338 LWK AFR female SAMN29221525 SRS13499086
NA19334 LWK AFR male SAMN29221524 SRS13498997
NA19332 LWK AFR female SAMN29221523 SRS13498996
NA19323 LWK AFR female SAMN29221522 SRS13498995
NA19317 LWK AFR male SAMN29221521 SRS13498994
NA19312 LWK AFR male SAMN29221520 SRS13498993
NA19308 LWK AFR male SAMN29221519 SRS13498992
NA19239 YRI AFR male SAMN29221518 SRS13498991
NA19238 YRI AFR female SAMN29221517 SRS13498989
NA19143 YRI AFR female SAMN29221516 SRS13498988
NA19129 YRI AFR female SAMN29221515 SRS13498987
NA19117 YRI AFR male SAMN29221514 SRS13499559
NA19116 YRI AFR female SAMN29221513 SRS13499282
NA19095 YRI AFR female SAMN29221512 SRS13499281
NA19081 JPT EAS female SAMN29221511 SRS13499279
NA19080 JPT EAS female SAMN29221510 SRS13499280
NA19077 JPT EAS female SAMN29221509 SRS13499278
NA19075 JPT EAS male SAMN29221508 SRS13498861
NA19068 JPT EAS male SAMN29221507 SRS13498859
NA19064 JPT EAS female SAMN29221506 SRS13498858
NA19062 JPT EAS male SAMN29221505 SRS13499424
NA19055 JPT EAS male SAMN29221504 SRS13499423
NA19054 JPT EAS female SAMN29221503 SRS13499422
NA19038 LWK AFR female SAMN29221502 SRS13499421
NA19028 LWK AFR male SAMN29221501 SRS13499420
NA19026 LWK AFR male SAMN29221500 SRS13499419
NA19025 LWK AFR male SAMN29221499 SRS13499418
NA19010 JPT EAS female SAMN29221498 SRS13499417
NA19009 JPT EAS male SAMN29221497 SRS13499085
NA18997 JPT EAS female SAMN29221496 SRS13499084
NA18995 JPT EAS male SAMN29221495 SRS13499083
NA18987 JPT EAS female SAMN29221494 SRS13499082
NA18982 JPT EAS male SAMN29221493 SRS13499081
NA18977 JPT EAS male SAMN29221492 SRS13499080
NA18972 JPT EAS female SAMN29221491 SRS13499079
NA18971 JPT EAS male SAMN29221490 SRS13499078
NA18970 JPT EAS male SAMN29221489 SRS13499077
NA18969 JPT EAS female SAMN29221488 SRS13499076
NA18963 JPT EAS female SAMN29221487 SRS13499074
NA18962 JPT EAS male SAMN29221486 SRS13499073
NA18956 JPT EAS female SAMN29221485 SRS13499072
NA18954 JPT EAS female SAMN29221484 SRS13498986
NA18953 JPT EAS male SAMN29221483 SRS13498985
NA18951 JPT EAS female SAMN29221482 SRS13498984
NA18948 JPT EAS male SAMN29221481 SRS13498983
NA18942 JPT EAS female SAMN29221480 SRS13498981
NA18934 YRI AFR male SAMN29221479 SRS13498982
NA18924 YRI AFR female SAMN29221478 SRS13498979
NA18915 YRI AFR male SAMN29221477 SRS13498978
NA18881 YRI AFR female SAMN29221476 SRS13498976
NA18879 YRI AFR male SAMN29221475 SRS13498977
NA18878 YRI AFR female SAMN29221474 SRS13498975
NA18877 YRI AFR male SAMN29221473 SRS13498974
NA18876 YRI AFR female SAMN29221472 SRS13498973
NA18874 YRI AFR male SAMN29221471 SRS13499277
NA18865 YRI AFR male SAMN29221470 SRS13499276
NA18864 YRI AFR female SAMN29221469 SRS13499275
NA18861 YRI AFR female SAMN29221468 SRS13499274
NA18856 YRI AFR male SAMN29221467 SRS13499273
NA18853 YRI AFR male SAMN29221466 SRS13499272
NA18749 CHB EAS male SAMN29221465 SRS13499271
NA18745 CHB EAS male SAMN29221464 SRS13499270
NA18646 CHB EAS female SAMN29221463 SRS13499268
NA18645 CHB EAS male SAMN29221462 SRS13499269
NA18639 CHB EAS male SAMN29221461 SRS13499266
NA18636 CHB EAS male SAMN29221460 SRS13498972
NA18626 CHB EAS female SAMN29221459 SRS13498971
NA18622 CHB EAS male SAMN29221458 SRS13498970
NA18621 CHB EAS male SAMN29221457 SRS13498969
NA18610 CHB EAS female SAMN29221456 SRS13498968
NA18609 CHB EAS male SAMN29221455 SRS13498967
NA18608 CHB EAS male SAMN29221454 SRS13498966
NA18596 CHB EAS female SAMN29221453 SRS13498965
NA18574 CHB EAS female SAMN29221452 SRS13498964
NA18561 CHB EAS male SAMN29221451 SRS13498963
NA18558 CHB EAS male SAMN29221450 SRS13498962
NA18557 CHB EAS male SAMN29221449 SRS13498960
NA18555 CHB EAS female SAMN29221448 SRS13499416
NA18553 CHB EAS female SAMN29221447 SRS13499415
NA18548 CHB EAS male SAMN29221446 SRS13499414
NA18545 CHB EAS female SAMN29221445 SRS13499413
NA18544 CHB EAS male SAMN29221444 SRS13499412
NA18542 CHB EAS female SAMN29221443 SRS13499411
NA18541 CHB EAS female SAMN29221442 SRS13499410
NA18536 CHB EAS male SAMN29221441 SRS13499409
NA18535 CHB EAS female SAMN29221440 SRS13499408
NA18531 CHB EAS female SAMN29221439 SRS13499406
NA18528 CHB EAS female SAMN29221438 SRS13499405
NA18522 YRI AFR male SAMN29221437 SRS13499403
NA18516 YRI AFR male SAMN29221436 SRS13499404
NA18508 YRI AFR female SAMN29221435 SRS13498959
NA18507 YRI AFR male SAMN29221434 SRS13498957
NA18504 YRI AFR male SAMN29221433 SRS13498958
NA18501 YRI AFR male SAMN29221432 SRS13498956
NA18486 YRI AFR male SAMN29221431 SRS13498954
NA12889 CEU EUR male SAMN29221430 SRS13498955
NA12878 CEU EUR female SAMN29221429 SRS13498952
NA12874 CEU EUR male SAMN29221428 SRS13498951
NA12843 CEU EUR female SAMN29221427 SRS13498950
NA12828 CEU EUR female SAMN29221426 SRS13498949
NA12815 CEU EUR female SAMN29221425 SRS13498948
NA12812 CEU EUR male SAMN29221424 SRS13498947
NA12778 CEU EUR female SAMN29221423 SRS13498946
NA12762 CEU EUR male SAMN29221422 SRS13499267
NA12748 CEU EUR male SAMN29221421 SRS13499265
NA12718 CEU EUR female SAMN29221420 SRS13499264
NA12717 CEU EUR female SAMN29221419 SRS13499261
NA12546 CEU EUR male SAMN29221418 SRS13499262
NA12414 CEU EUR female SAMN29221417 SRS13499260
NA12413 CEU EUR male SAMN29221416 SRS13499259
NA12399 CEU EUR male SAMN29221415 SRS13499258
NA12348 CEU EUR female SAMN29221414 SRS13499257
NA12287 CEU EUR female SAMN29221413 SRS13499255
NA12286 CEU EUR male SAMN29221412 SRS13499254
NA12275 CEU EUR female SAMN29221411 SRS13499256
NA12154 CEU EUR male SAMN29221410 SRS13499253
NA12058 CEU EUR female SAMN29221409 SRS13499401
NA12046 CEU EUR female SAMN29221408 SRS13499400
NA12003 CEU EUR male SAMN29221407 SRS13499399
NA11933 CEU EUR female SAMN29221406 SRS13499398
NA11932 CEU EUR male SAMN29221405 SRS13499397
NA11930 CEU EUR male SAMN29221404 SRS13499396
NA11919 CEU EUR male SAMN29221403 SRS13499395
NA07000 CEU EUR female SAMN29221402 SRS13499394
NA06985 CEU EUR female SAMN29221401 SRS13499393
HG04235 ITU SAS male SAMN29221400 SRS13499392
HG04227 STU SAS female SAMN29221399 SRS13499390
HG04216 ITU SAS female SAMN29221398 SRS13499071
HG04195 BEB SAS female SAMN29221397 SRS13499070
HG04194 BEB SAS male SAMN29221396 SRS13499069
HG04188 BEB SAS male SAMN29221395 SRS13499068
HG04185 BEB SAS male SAMN29221394 SRS13499067
HG04177 BEB SAS female SAMN29221393 SRS13499066
HG04171 BEB SAS female SAMN29221392 SRS13499065
HG04164 BEB SAS male SAMN29221391 SRS13499064
HG04158 BEB SAS male SAMN29221390 SRS13499063
HG04156 BEB SAS female SAMN29221389 SRS13499061
HG04155 BEB SAS male SAMN29221388 SRS13499060
HG04152 BEB SAS male SAMN29221387 SRS13499059
HG04141 BEB SAS female SAMN29221386 SRS13499058
HG04107 STU SAS male SAMN29221385 SRS13498945
HG04100 STU SAS male SAMN29221384 SRS13498944
HG04075 STU SAS female SAMN29221383 SRS13498943
HG04063 ITU SAS female SAMN29221382 SRS13498942
HG04062 ITU SAS female SAMN29221381 SRS13498941
HG04061 ITU SAS male SAMN29221380 SRS13498940
HG04060 ITU SAS male SAMN29221379 SRS13498938
HG04059 ITU SAS female SAMN29221378 SRS13498937
HG04054 ITU SAS female SAMN29221377 SRS13498936
HG04047 STU SAS female SAMN29221376 SRS13498935
HG04033 STU SAS male SAMN29221375 SRS13498934
HG04029 STU SAS female SAMN29221374 SRS13498933
HG04025 ITU SAS female SAMN29221373 SRS13498932
HG04002 ITU SAS male SAMN29221372 SRS13499251
HG03998 STU SAS male SAMN29221371 SRS13499252
HG03989 STU SAS female SAMN29221370 SRS13499250
HG03978 ITU SAS male SAMN29221369 SRS13499247
HG03977 ITU SAS female SAMN29221368 SRS13499248
HG03976 ITU SAS male SAMN29221367 SRS13499246
HG03971 ITU SAS male SAMN29221366 SRS13499245
HG03934 BEB SAS female SAMN29221365 SRS13499244
HG03922 BEB SAS female SAMN29221364 SRS13499243
HG03910 BEB SAS female SAMN29221363 SRS13499242
HG03902 BEB SAS male SAMN29221362 SRS13499240
HG03900 STU SAS male SAMN29221361 SRS13499241
HG03898 STU SAS female SAMN29221360 SRS13499239
HG03897 STU SAS female SAMN29221359 SRS13499387
HG03896 STU SAS male SAMN29221358 SRS13499388
HG03888 STU SAS female SAMN29221357 SRS13499386
HG03885 STU SAS male SAMN29221356 SRS13499385
HG03868 ITU SAS female SAMN29221355 SRS13499384
HG03866 ITU SAS male SAMN29221354 SRS13499383
HG03864 ITU SAS male SAMN29221353 SRS13499382
HG03862 ITU SAS female SAMN29221352 SRS13499381
HG03861 ITU SAS female SAMN29221351 SRS13499380
HG03858 STU SAS female SAMN29221350 SRS13499379
HG03857 STU SAS female SAMN29221349 SRS13499377
HG03826 BEB SAS female SAMN29221348 SRS13499376
HG03823 BEB SAS female SAMN29221347 SRS13499057
HG03815 BEB SAS male SAMN29221346 SRS13499056
HG03803 BEB SAS male SAMN29221345 SRS13499055
HG03782 ITU SAS female SAMN29221344 SRS13499054
HG03781 ITU SAS female SAMN29221343 SRS13499053
HG03780 ITU SAS female SAMN29221342 SRS13499052
HG03778 ITU SAS male SAMN29221341 SRS13499051
HG03770 ITU SAS female SAMN29221340 SRS13499050
HG03765 PJL SAS female SAMN29221339 SRS13499048
HG03743 STU SAS male SAMN29221338 SRS13499047
HG03741 STU SAS female SAMN29221337 SRS13499046
HG03738 STU SAS male SAMN29221336 SRS13499045
HG03736 STU SAS female SAMN29221335 SRS13499044
HG03730 ITU SAS female SAMN29221334 SRS13498931
HG03727 ITU SAS male SAMN29221333 SRS13498930
HG03717 ITU SAS female SAMN29221332 SRS13498929
HG03714 ITU SAS female SAMN29221331 SRS13498928
HG03711 STU SAS male SAMN29221330 SRS13498927
HG03709 PJL SAS female SAMN29221329 SRS13498925
HG03697 STU SAS male SAMN29221328 SRS13498924
HG03696 STU SAS male SAMN29221327 SRS13498923
HG03695 STU SAS male SAMN29221326 SRS13498922
HG03692 STU SAS female SAMN29221325 SRS13498921
HG03673 STU SAS female SAMN29221324 SRS13498920
HG03668 PJL SAS female SAMN29221323 SRS13498919
HG03667 PJL SAS male SAMN29221322 SRS13498918
HG03660 PJL SAS male SAMN29221321 SRS13499238
HG03646 STU SAS male SAMN29221320 SRS13499237
HG03631 PJL SAS female SAMN29221319 SRS13499236
HG03616 BEB SAS female SAMN29221318 SRS13499234
HG03604 BEB SAS female SAMN29221317 SRS13499235
