sample
HG03117_batch07_rep1
NA19785_batch07_rep1
HG00956_batch11_rep1
HG01809_batch09_rep1
HG01970_batch02_rep1
NA19308_batch02_rep1
HG01395_batch06_rep1
HG02941_batch16_rep1
HG01170_batch11_rep1
HG01988_batch11_rep1
HG00285_batch05_rep1
HG03082_batch17_rep1
NA21120_batch12_rep1
HG03129_batch01_rep1
HG03900_batch01_rep1
HG01682_batch10_rep1
HG01870_batch05_rep1
NA18874_batch09_rep1
NA12828_batch11_rep1
HG00337_batch11_rep1
HG04185_batch05_rep1
HG02481_batch14_rep1
NA20532_batch07_rep1
HG03695_batch15_rep1
NA19774_batch15_rep1
HG00473_batch03_rep1
NA20775_batch15_rep1
NA19081_batch03_rep1
HG03696_batch02_rep1
HG03998_batch05_rep1
HG02733_batch12_rep1
NA20763_batch02_rep1
HG01630_batch13_rep1
HG00740_batch16_rep1
HG02731_batch08_rep1
HG01204_batch01_rep1
HG01113_batch11_rep1
NA19116_batch15_rep1
HG00342_batch07_rep3
NA18507_batch10_rep1
NA19323_batch11_rep1
NA12778_batch04_rep1
HG03885_batch08_rep1
NA18504_batch02_rep1
HG01953_batch09_rep1
HG03864_batch16_rep1
HG00589_batch03_rep1
HG01092_batch04_rep1
NA19062_batch16_rep1
NA19143_batch04_rep3
NA19332_batch14_rep1
HG02545_batch12_rep1
HG01593_batch14_rep1
NA18555_batch01_rep1
NA20866_batch16_rep1
HG02136_batch08_rep1
NA19401_batch16_rep1
HG02981_batch12_rep1
HG01844_batch04_rep1
HG01518_batch16_rep1
HG00132_batch04_rep1
HG00631_batch07_rep1
HG03727_batch05_rep1
NA18948_batch05_rep1
HG02232_batch09_rep1
HG01607_batch04_rep1
HG02643_batch07_rep1
NA20342_batch15_rep1
HG00320_batch15_rep1
HG03989_batch01_rep1
NA20294_batch12_rep1
NA18877_batch01_rep1
HG02102_batch13_rep1
HG02715_batch12_rep1
NA12046_batch10_rep1
HG03058_batch11_rep1
NA19449_batch13_rep1
HG02613_batch04_rep1
HG01251_batch07_rep1
NA18881_batch02_rep1
HG00260_batch03_rep1
NA18934_batch07_rep1
HG00556_batch16_rep1
NA18997_batch04_rep1
NA18963_batch14_rep1
HG01610_batch03_rep1
NA19711_batch06_rep1
HG02364_batch08_rep1
NA20334_batch10_rep1
HG04188_batch03_rep1
NA12399_batch09_rep1
HG02611_batch10_rep1
HG00590_batch02_rep1
HG00188_batch05_rep3
NA20878_batch12_rep1
NA20762_batch03_rep1
NA18541_batch12_rep1
NA19129_batch07_rep2
HG01479_batch02_rep1
NA18516_batch04_rep1
HG02816_batch07_rep1
NA12003_batch12_rep1
NA19117_batch13_rep2
HG01461_batch17_rep1
HG00311_batch11_rep1
HG03934_batch07_rep1
HG03578_batch14_rep1
HG02394_batch04_rep1
HG01489_batch12_rep1
NA18558_batch03_rep1
HG00183_batch03_rep3
HG01392_batch09_rep1
HG02623_batch16_rep1
HG01686_batch16_rep1
NA20755_batch02_rep1
HG00625_batch13_rep1
NA20412_batch07_rep1
HG00641_batch14_rep1
HG00130_batch05_rep1
HG03667_batch11_rep1
HG04216_batch09_rep1
NA20790_batch08_rep1
NA18956_batch10_rep1
HG01950_batch08_rep1
HG02089_batch02_rep1
HG04171_batch16_rep1
HG00265_batch12_rep1
HG01921_batch07_rep1
HG01060_batch06_rep1
HG03135_batch10_rep1
HG02681_batch13_rep1
HG01684_batch06_rep1
NA18995_batch09_rep1
HG01173_batch10_rep1
HG03166_batch08_rep1
NA19752_batch07_rep1
HG01600_batch16_rep1
HG03866_batch04_rep1
HG02471_batch17_rep1
HG00160_batch09_rep1
HG02614_batch10_rep1
NA20792_batch02_rep1
HG02409_batch07_rep1
HG01031_batch15_rep1
HG01762_batch01_rep1
NA18745_batch12_rep1
NA20811_batch10_rep1
HG01073_batch14_rep1
HG03372_batch02_rep1
HG00189_batch09_rep1
HG02804_batch01_rep1
NA19095_batch09_rep3
HG03461_batch05_rep1
NA18969_batch16_rep1
HG03485_batch04_rep1
HG00148_batch11_rep2
HG03862_batch06_rep1
HG01878_batch10_rep1
NA21110_batch07_rep1
HG01863_batch11_rep1
NA19788_batch03_rep1
NA19913_batch10_rep1
HG01125_batch05_rep1
HG03738_batch03_rep1
HG00404_batch01_rep1
NA18861_batch06_rep2
NA19818_batch09_rep1
NA19904_batch04_rep1
HG01365_batch16_rep1
