lab_rep
10_NI5_GM19117
11_NI6_GM19129
12_NI7_GM19240
13_CH1_GM18542
14_CH2_GM18561
15_CH3_GM18631
16_CH4_GM18772
17_CH5_GM18774
18_CH6_HG00621
19_KE1_GM19307
1_PY1_GM10492
20_KE2_GM19328
21_KE3_GM19352
22_KE4_GM19390
23_KE5_GM19446
24_IS1_GM22234
25_IS2_GM22299
26_IS3_GM22300
27_IS4_GM22304
28_IS5_GM22305
29_PE1_HG01567
2_PY2_GM10493
30_PE2_HG01928
31_PE3_HG01952
32_PE4_HG01975
33_PE5_HG02261
34_PE6_HG02293
35_IN1_HG03719
36_IN2_HG03729
37_IN3_HG03732
38_IN4_HG04216
39_IN5_HG04217
3_PY3_GM10494
40_IS6_GM24385
41_EU1_GM12273
42_EU2_GM12778
43_EU3_GM12812
44_EU4_GM12829
45_EU5_GM12878
4_PY4_GM10495
6_NI1_GM18486
7_NI2_GM18489
8_NI3_GM18906
